Defect No.,Location,Defect Description,Breach,Remediation
"Building B/
Unit 68","Balcony, handrail",Glass is not identifiable as safety glass.,"AS 1288 is a document referenced by the BCA 2016 clauses B1.4, spec C2.5 and C3.4.

AS/NZS 1288
7.3  Selection of Balustrade Glass
5.8.1 General
Grade A safety glass shall be used in all balustrades. The standard nominal thickness of glass for a given situation of use shall be determined in accordance with Section 3.

5.23 Identification of Safety Glass
5.23.1 Original panels
Each original panel of safety glazing material shall be legibly marked in accordance with AS/NZS 2208. Marking may be by either a label of a type that cannont be removed and reused or a permanent mark on the glass surface.

Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (AS 1288) – section 18B(1)(a) of the HBA.

Materials not fit for purpose – section 18B(1)(f) of the HBA. 

See section 9.4 of this report.","Remove top rail;
Remove glass;
Install new grade A safety glass glazing with decal confirming compliance with AS/NZA2208;
Clean down glass and work area.
See section 9.4 of this report."
"Building B/
Unit 68","Balcony, Louvres",Louvre blades are loose and move excessively at mid-span.,"Further investigations by a facade or structural engineer is required.

See section 9.2 of this report.","Further investigations by a facade or structural engineer is required.

See section 9.2 of this report."
"Building B/
Unit 68","Balcony 1, Air condenser","The mechanical AC condenser has not been fixed into position as required by the manufacturer.

Refrigerant pipes are rigid and can break leaking refrigerant gas into the atmosphere.","Daikin Installation Guide requires the following fixings be installed to outdoor condensers:




Home Building Act 1989

Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (manufacturer’s specification) – section 18B(1)(a) of the HBA.

See section 9.5 of this report.","Set up the work area
Mark fixing locations;
Degas AC;
Remove the AC condenser;
Remove one tile local to each fixing;
Install stainless steel threaded rod;
Clean waterproofing around the threaded rod;
Detail base of the rod with fillet or bond breaker to manufacturers specifications;
Reactivate waterproofing;
Install waterproofing around the rod to manufacturers specifications and AS4654.2;
Reinstall the condenser and bolt down;
Re-gas AC
Test and commission AC;
Clean down and demobilise.
See section 9.5 of this report."
"Building B/
Unit 68","Balcony, Setdown","The concrete slab has been placed without a setdown from the internal to external areas, meaning the external floor level is higher with the tiles and screed than the internal floor level. 

Reliance on the waterproof membrane to control moisture entering habitable spaces, not a setdown and falls;
Any flashing or waterproof failure results in moisture entering internal habitable spaces as the internal floor levels are lower than the external.","Performance Solution to be provided outlining the approval for external floor levels to be higher than internal as this is not compliant with the DTS provisions of AS4654.2 referenced by the NCC.

NCC
Breach of FP1.4 of the NCC as water ingress is causing the deterioration of building elements and mould.


Home Building Act 1989
Failure to perform work with due care and skill as the external floor level is higher than the internal– section 18B(1)(a) of the HBA.

Works are not reasonably fit for occupation as water is identified to be entering the Property at numerous locations with this detail - section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (Stamped structural drawing) – section 18B(1)(a) of the HBA.

See section 9.1 of this report.","The alternate solution required for the design details of the external balconies is higher than the internal carpet floor levels.

See section 9.1 of this report."
"Building B/
Unit 68","Bed 1, sliding door","Stopper restricting the opening of the balcony door by 90mm.

520 mm opening and space.

The opening being restricted limits amenities.","Home Building Act 1989
Failure to perform work with due care and skill as the door clear opening width has been reduced unnecessarily – section 18B(1)(a) of the HBA.

Works are not good and suitable for the purpose for which they are intended as the door opening have been reduced by 90mm – section 18B(1)(b) of the HBA. 

See section 9.8 of this report.","Remove the existing door stopper.
Install in a suitable location to allow maximum opening size.
Locally paint touch up from screw hole.
Install sealant into the screw hole.
See section 9.8 of this report."
-,"Building B/
Unit 68",Bed 2,"No access.

Note.",-
-,"Building B/
Unit 68",Bed 1,"No access.

Note.",-
"Building B/
Unit 68","Balcony, handrail",Glass is not identifiable as safety glass.,"AS 1288 is a document referenced by the BCA 2016 clauses B1.4, spec C2.5 and C3.4.

AS/NZS 1288
7.3  Selection of Balustrade Glass
5.8.1 General
Grade A safety glass shall be used in all balustrades. The standard nominal thickness of glass for a given situation of use shall be determined in accordance with Section 3.

5.23 Identification of Safety Glass
5.23.1 Original panels
Each original panel of safety glazing material shall be legibly marked in accordance with AS/NZS 2208. Marking may be by either a label of a type that cannont be removed and reused or a permanent mark on the glass surface.

Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (AS 1288) – section 18B(1)(a) of the HBA.

Materials not fit for purpose – section 18B(1)(f) of the HBA. 

See section 9.4 of this report.","Remove top rail;
Remove glass;
Install new grade A safety glass glazing with decal confirming compliance with AS/NZA2208;
Clean down glass and work area.
See section 9.4 of this report."
"Building B/
Unit 68","Balcony, louvre",Corrosion to fixing.,"Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.

Materials not fit for purpose – section 18B(1)(f) of the HBA.","Protect the work area.
Attain safe access.
Remove and replace the fixing with a galvanized fixing.
Clean down the work area and demobilise."
"Building B/
Unit 68","Ensuite, door threshold","Waterstop does not extend to the door frame as identified by AS3740.

Gap in the waterstop will allow moisture in the tile screed to escape from the wet area.","Building Code of Australia 2016
FP1.7 
To protect the structure of the building and to maintain the amenity of the occupants, water must be prevented from penetrating–
(b) into concealed spaces Of sanitary compartments, bathrooms, laundries and the like.

F1.7 Waterproofing of wet areas in buildings
(a) In class 2 and 3 buildings and a class 4 part of the building, building elements in wet areas must–
(i) be waterproof in accordance with table F1.7 and 
(ii) comply with AS 3740.

AS 3740:2010

3.9.1.2 Perimeter flashing at floor-level openings
The following applies:
(a) For whole wet area floor waterproofing   A water stop that has a vertical leg finishing flush with the top of the finished floor level shall be installed at floor-level openings.
The floor membrane shall be terminated to create a waterproof seal to the water stop and to the perimeter flashing. 
NOTE: For typical bathroom detail for whole bathroom waterproofing, see Figures 3.3(a) and 3.3(b).
 

Home Building Act 1989
Failure to perform work with due care and skill as the waterproofing has not protected the door frame– section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (AS3740) – section 18B(1)(a) of the HBA.

Works are not good and suitable for the purpose for which they are intended as the door frame is corroding– section 18B(1)(b) of the HBA. 

See section 8.2 of this report.","Protect work area;
Remove one row of tiles to the bathrooms and outside of the bathroom for clear access to the water stop;
Remove the bathroom entry door;
Grind back base of the metal door frame;
Repair and prime base of the door frame;
Clean waterproofing;
Reactivate waterproofing;
Install new compliant water stop as per AS3740;
Install fillet;
Install primer and 2 x layers of waterproofing as per AS3740;
Supply and install new tiles as per AS3958.1;
Install sealant to tile and water stop junction;
Rehang door;
Paint door and frame as per AS1909;
Clean down work area; and
Demobilise.

Localised remediation identified above, while traditionally been the rectification for ponding tiles, with the D&BPA requiring a compliant design most likely at least the entire floor will require removal and reinstatement to ensure a compliant design is provided. 

See section 8.2 of this report."
"Building B/
Unit 68","Bathroom, shower area","I water-tested the shower recess at the time of inspection.

Water ponding was evident adjacent to floor waste.","AS3740 section 3.3 identifies water cannot pond. Suggested falls of 1:100 (10mm per metre) to general bathroom and 1:80 (12mm per metre) for showers.

Failure to comply with AS 3740 is a breach of F1.7 of the BCA 2016:
F1.7 Waterproofing of wet areas in buildings
(a) In class 2 and 3 buildinsg and a class 4 part of building, building elements in wet areas must–
(i) be waterproof in accordance with table F1.7 and 
(ii) comply with AS 3740.

Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.

Works are not good and suitable for the purpose for which they are intended– section 18B(1)(b) of the HBA. 

Works have not been completed as per plans and specifications (BCA) – section 18B(1)(a) of the HBA.

See section 8.4 of this report.","Provide design compliance with the D&BPA;
Protection of the local work area;
Removing 6m2 of tiles local to the ponding area;
Carefully removing the tile bed to ensure minimal damage to waterproofing;
Waterproofing manufacturer to confirm that waterproofing can be reactivated;
Cleaning down the existing waterproof membrane;
Reactivating existing waterproofing;
Installing 2 x layers of waterproofing with sufficient lap;
Installing the tile bed with sufficient falls;
Sealing the tile bed to ensure no efflorescence;
Reinstalling tiles with grout; and
Cleaning down the work area.
See section 8.4 of this report."
Defect No.,Location,Area,Defect Description,Breach
"Building B/
Unit 69","Balcony 1, Air condenser","The mechanical AC condenser has not been fixed into position as required by the manufacturer.

Refrigerant pipes are rigid and can break leaking refrigerant gas into the atmosphere.","Daikin Installation Guide requires the following fixings be installed to outdoor condensers:




Home Building Act 1989

Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (manufacturer’s specification) – section 18B(1)(a) of the HBA.

See section 9.5 of this report.","Set up the work area
Mark fixing locations;
Degas AC;
Remove the AC condenser;
Remove one tile local to each fixing;
Install stainless steel threaded rod;
Clean waterproofing around the threaded rod;
Detail base of the rod with fillet or bond breaker to manufacturers specifications;
Reactivate waterproofing;
Install waterproofing around the rod to manufacturers specifications and AS4654.2;
Reinstall the condenser and bolt down;
Re-gas AC
Test and commission AC;
Clean down and demobilise.
See section 9.5 of this report."
"Building B/
Unit 69","Balcony, Air condenser","Open penetration in the external wall.

Thermal breach as the void in the external wall will create a thermal loss.","Building Code of Australia 2016

J1.2 Thermal construction - general
(a) Where required, insulation must comply with AS/NZS 4859.1 and be installed so that it – 
(i) abuts or overlaps adjoining insulation other than at supporting members such as studs, noggings, joists, furring channels and the like where the insulation must be against the member; and 
(ii) forms a continuous barrier with ceilings, walls, bulkheads, floors or the like that inherently contribute to the thermal barrier; and
(iii) does not affect the safe or effective operation of a service or fitting.

Home Building Act 1989
Failure to perform work with due care and skill as there is an open thermal breach to the external wall – section 18B(1)(a) of the HBA.
Works have not been completed as per plans and specifications (BCA) – section 18B(1)(a) of the HBA.
Works are not good and suitable for the purpose for which they are intended as the wall does not offer thermal or moisture protection due to the opening– section 18B(1)(b) of the HBA. 
See section 9.6 of this report.","Degas and remove AC Unit.
Install expanding foam into penetration.
Provide decktie to services penetration and clamp at end.
Screw and glue decktie onto FC cladding.
Decktie similar to below with ring clamp to pipes:
 


See section 9.6 of this report."
"Building B/
Unit 69","Balcony, handrail",Glass not identifiable as safety glass.,"AS 1288 is document referenced by the BCA 2016 clauses B1.4, spec C2.5 and C3.4.

AS/NZS 1288
7.3  Selection of Balustrade Glass
5.8.1 General
Grade A safety glass shall be used in all balustrades. The standard nominal thickness of glass for a given situation of use shall be determined in accordance with Section 3.

5.23 Identification of Safety Glass
5.23.1 Original panels
Each original panel of safety glazing material shall be legibly marked in accordance with AS/NZS 2208. Marking may be by either a label of a type that cannont be removed and reused or a permanent mark on the glass surface.

Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (AS 1288) – section 18B(1)(a) of the HBA.

Materials not fit for purpose – section 18B(1)(f) of the HBA. 

See section 9.4 of this report.","Remove top rail;
Remove glass;
Install new grade A safety glass glazing with decal confirming compliance with AS/NZA2208;
Clean down glass and work area.
See section 9.4 of this report."
"Building B/
Unit 69","Bed 1, sliding door","Stopper restricting the opening of the balcony door

540 mm opening and space for a further 80mm. 

The opening being restricted limits amenities.","Home Building Act 1989
Failure to perform work with due care and skill as the door clear opening width has been reduced unnecessarily – section 18B(1)(a) of the HBA.

Works are not good and suitable for the purpose for which they are intended as the door opening have been reduced by 90mm – section 18B(1)(b) of the HBA. 

See section 9.8 of this report.","Remove the existing door stopper.
Install in a suitable location to allow maximum opening size.
Locally paint touch up from screw hole.
Install sealant into the screw hole.
See section 9.8 of this report."
"Building B/
Unit 69","Balcony, Setdown","The concrete slab has been placed without a setdown from the internal to external areas, meaning the external floor level is higher with the tiles and screed than the internal floor level. 

Reliance on the waterproof membrane to control moisture entering habitable spaces, not a setdown and falls;

Any flashing or waterproof failure results in moisture entering internal habitable spaces as the internal floor levels are lower than the external.","Performance Solution to be provided outlining the approval for external floor levels to be higher than internal as this is not compliant with the DTS provisions of AS4654.2 referenced by the NCC.

NCC
Breach of FP1.4 of the NCC as water ingress is causing the deterioration of building elements and mould.


Home Building Act 1989
Failure to perform work with due care and skill as the external floor level is higher than the internal– section 18B(1)(a) of the HBA.

Works are not reasonably fit for occupation as water is identified to be entering the Property at numerous locations with this detail - section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (Stamped structural drawing) – section 18B(1)(a) of the HBA.

See section 9.1 of this report.","The alternate solution required for the design details of the external balconies is higher than the internal carpet floor levels.

See section 9.1 of this report."
"Building B/
Unit 69","Ensuite, door threshold","Waterstop does not extend to the door frame as identified by AS3740.

Gap in the waterstop will allow moisture in the tile screed to escape from the wet area.","Building Code of Australia 2016
FP1.7 
To protect the structure of the building and to maintain the amenity of the occupants, water must be prevented from penetrating–
(b) into concealed spaces Of sanitary compartments, bathrooms, laundries and the like.

F1.7 Waterproofing of wet areas in buildings
(a) In class 2 and 3 buildings and a class 4 part of the building, building elements in wet areas must–
(i) be waterproof in accordance with table F1.7 and 
(ii) comply with AS 3740.

AS 3740:2010

3.9.1.2 Perimeter flashing at floor-level openings
The following applies:
(a) For whole wet area floor waterproofing   A water stop that has a vertical leg finishing flush with the top of the finished floor level shall be installed at floor-level openings.
The floor membrane shall be terminated to create a waterproof seal to the water stop and to the perimeter flashing. 
NOTE: For typical bathroom detail for whole bathroom waterproofing, see Figures 3.3(a) and 3.3(b).
 

Home Building Act 1989
Failure to perform work with due care and skill as the waterproofing has not protected the door frame– section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (AS3740) – section 18B(1)(a) of the HBA.

Works are not good and suitable for the purpose for which they are intended as the door frame is corroding– section 18B(1)(b) of the HBA. 

See section 8.2 of this report.","Protect work area;
Remove one row of tiles to the bathrooms and outside of the bathroom for clear access to water stop;
Remove bathroom entry door;
Grind back base of the metal door frame;
Repair and prime base of the door frame;
Clean waterproofing;
Reactivate waterproofing;
Install new compliant water stop as per AS3740;
Install fillet;
Install primer and 2 x layers of waterproofing as per AS3740;
Supply and install new tiles as per AS3958.1;
Install sealant to tile and water stop junction;
Rehang door;
Paint door and frame as per AS1909;
Clean down work area; and
Demobilise.

Localised remediation identified above, while traditionally been the rectification for ponding tiles, with the D&BPA requiring a compliant design most likely at least the entire floor will require removal and reinstatement to ensure a compliant design is provided. 

See section 8.2 of this report."
"Building B/
Unit 69","Bathroom, shower screen","The shower was water tested with the shower arm, and water was identified to exit between the screen and the wall.","The shower screen shall be installed to prevent the spread of water from the shower enclosure as per Section 3.18.1.2 of the AS3740.

Failure to comply with AS 3740 is a breach of F1.7 of the BCA 2016:
F1.7 Waterproofing of wet areas in buildings
(a) In class 2 and 3 buildinsg and a class 4 part of building, building elements in wet areas must–
(i) be waterproof in accordance with table F1.7 and 
(ii) comply with AS 3740.

Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (AS3740) – section 18B(1)(a) of the HBA.

Works are not good and suitable for the purpose for which they are intended– section 18B(1)(b) of the HBA. 

See section 8.3 of this report.","Cut out sealant to shower screen;
Drill out shower screen rivets;
Remove shower screen;
The frame will require replacement. Glass inserts can only be retained if identifiable as safety glass, but as there is no labelling confirming they are safety glass, they will require replacement.
Remove floor tiles to shower screen to allow replacement of water stop angle;
Remove floor tiles and screed locally;
Expose waterproof membrane and water stops;
Clean down existing waterproofing;
Extend/replace water stop;
Reactivate waterproofing;
Apply two coats of new waterproofing;
Reinstate tiling with new screed and falls compliant with AS3740;
Install sealant at water stop and junctions;
Reinstall shower screens with new frame and safety glass;
Install sealant to the external side of shower screen; and
Clean down and demobilise.
Localised remediation identified above, while traditionally been the rectification for failed waterstops, with the D&BPA requiring a compliant design most likely at least the entire shower floor will require removal and reinstatement to ensure a compliant design is provided. 
See section 8.3 of this report."
"Building B/
Unit 69","Ensuite, door threshold","Waterstop does not extend to the door frame as identified by AS3740.

Gap in the waterstop will allow moisture in the tile screed to escape from the wet area.","Building Code of Australia 2016
FP1.7 
To protect the structure of the building and to maintain the amenity of the occupants, water must be prevented from penetrating–
(b) into concealed spaces Of sanitary compartments, bathrooms, laundries and the like.

F1.7 Waterproofing of wet areas in buildings
(a) In class 2 and 3 buildings and a class 4 part of the building, building elements in wet areas must–
(i) be waterproof in accordance with table F1.7 and 
(ii) comply with AS 3740.

AS 3740:2010

3.9.1.2 Perimeter flashing at floor-level openings
The following applies:
(a) For whole wet area floor waterproofing   A water stop that has a vertical leg finishing flush with the top of the finished floor level shall be installed at floor-level openings.
The floor membrane shall be terminated to create a waterproof seal to the water stop and to the perimeter flashing. 
NOTE: For typical bathroom detail for whole bathroom waterproofing, see Figures 3.3(a) and 3.3(b).
 

Home Building Act 1989
Failure to perform work with due care and skill as the waterproofing has not protected the door frame– section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (AS3740) – section 18B(1)(a) of the HBA.

Works are not good and suitable for the purpose for which they are intended as the door frame is corroding– section 18B(1)(b) of the HBA. 

See section 8.2 of this report.","Protect work area;
Remove one row of tiles to the bathrooms and outside of the bathroom for clear access to water stop;
Remove bathroom entry door;
Grind back base of the metal door frame;
Repair and prime base of the door frame;
Clean waterproofing;
Reactivate waterproofing;
Install new compliant water stop as per AS3740;
Install fillet;
Install primer and 2 x layers of waterproofing as per AS3740;
Supply and install new tiles as per AS3958.1;
Install sealant to tile and water stop junction;
Rehang door;
Paint door and frame as per AS1909;
Clean down work area; and
Demobilise.

Localised remediation identified above, while traditionally been the rectification for ponding tiles, with the D&BPA requiring a compliant design most likely at least the entire floor will require removal and reinstatement to ensure a compliant design is provided. 

See section 8.2 of this report."
